lon,lat,name,code
-38.65,-7.0,Cajazeiras,2503704
-38.6,-7.0,Cajazeiras,2503704
-38.55,-7.0,Cajazeiras,2503704
-38.5,-7.0,São José de Piranhas,2514503
-38.45,-7.0,São José de Piranhas,2514503
-38.4,-7.0,São José de Piranhas,2514503
-38.35,-7.0,Carrapateira,2504108
-38.3,-7.0,Nazarezinho,2510006
-38.25,-7.0,Aguiar,2500205
-38.2,-7.0,São José da Lagoa Tapada,2514206
-38.15,-7.0,São José da Lagoa Tapada,2514206
-38.1,-7.0,São José da Lagoa Tapada,2514206
-38.05,-7.0,Coremas,2504801
-38.0,-7.0,Coremas,2504801
-37.95,-7.0,Coremas,2504801
-37.9,-7.0,Pombal,2512101
-37.85,-7.0,Cajazeirinhas,2503753
-37.8,-7.0,Cajazeirinhas,2503753
-37.75,-7.0,Cajazeirinhas,2503753
-37.7,-7.0,Cajazeirinhas,2503753
-37.65,-7.0,Catingueira,2504207
-37.6,-7.0,Condado,2504504
-37.55,-7.0,Catingueira,2504207
-37.5,-7.0,Santa Teresinha,2513802
-37.45,-7.0,Santa Teresinha,2513802
-37.4,-7.0,Patos,2510808
-37.35,-7.0,Patos,2510808
-37.3,-7.0,Patos,2510808
-37.25,-7.0,Patos,2510808
-37.2,-7.0,Quixaba,2512606
-37.15,-7.0,Quixaba,2512606
-37.1,-7.0,São Mamede,2514909
-37.05,-7.0,São Mamede,2514909
-37.0,-7.0,São Mamede,2514909
-36.95,-7.0,São Mamede,2514909
-36.9,-7.0,Santa Luzia,2513406
-36.85,-7.0,Junco do Seridó,2507804
-36.8,-7.0,Junco do Seridó,2507804
-36.75,-7.0,Junco do Seridó,2507804
-36.7,-7.0,Junco do Seridó,2507804
-36.65,-7.0,Tenório,2516755
-36.6,-7.0,Juazeirinho,2507705
-36.55,-7.0,Juazeirinho,2507705
-36.5,-7.0,Juazeirinho,2507705
-36.45,-7.0,Soledade,2516102
-36.4,-7.0,Soledade,2516102
-36.35,-7.0,Soledade,2516102
-36.3,-7.0,Olivedos,2510501
-36.25,-7.0,Olivedos,2510501
-36.2,-7.0,Olivedos,2510501
-36.15,-7.0,Pocinhos,2512002
-36.1,-7.0,Pocinhos,2512002
-36.05,-7.0,Pocinhos,2512002
-36.0,-7.0,Pocinhos,2512002
-35.95,-7.0,Esperança,2506004
-35.9,-7.0,Esperança,2506004
-35.85,-7.0,Esperança,2506004
-35.8,-7.0,Remígio,2512705
-35.75,-7.0,Areia,2501104
-35.7,-7.0,Areia,2501104
-35.65,-7.0,Alagoa Grande,2500304
-35.6,-7.0,Alagoa Grande,2500304
-35.55,-7.0,Alagoa Grande,2500304
-35.5,-7.0,Alagoinha,2500502
-35.45,-7.0,Mulungu,2509800
-35.4,-7.0,Mulungu,2509800
-35.35,-7.0,Mari,2509107
-35.3,-7.0,Mari,2509107
-35.25,-7.0,Sapé,2515302
-35.2,-7.0,Sapé,2515302
-35.15,-7.0,Sapé,2515302
-35.1,-7.0,Santa Rita,2513703
-35.05,-7.0,Santa Rita,2513703
-35.0,-7.0,Santa Rita,2513703
-34.95,-7.0,Santa Rita,2513703
-34.9,-7.0,Santa Rita,2513703
-34.85,-7.0,Cabedelo,2503209
-38.75,-6.95,Cachoeira dos Índios,2503308
-38.7,-6.95,Cachoeira dos Índios,2503308
-38.65,-6.95,Cachoeira dos Índios,2503308
-38.6,-6.95,Cajazeiras,2503704
-38.55,-6.95,Cajazeiras,2503704
-38.5,-6.95,Cajazeiras,2503704
-38.45,-6.95,Cajazeiras,2503704
-38.4,-6.95,Nazarezinho,2510006
-38.35,-6.95,Nazarezinho,2510006
-38.3,-6.95,Nazarezinho,2510006
-38.25,-6.95,Nazarezinho,2510006
-38.2,-6.95,São José da Lagoa Tapada,2514206
-38.15,-6.95,São José da Lagoa Tapada,2514206
-38.1,-6.95,São José da Lagoa Tapada,2514206
-38.05,-6.95,São José da Lagoa Tapada,2514206
-38.0,-6.95,Coremas,2504801
-37.95,-6.95,Pombal,2512101
-37.9,-6.95,Cajazeirinhas,2503753
-37.85,-6.95,Cajazeirinhas,2503753
-37.8,-6.95,Cajazeirinhas,2503753
-37.75,-6.95,Cajazeirinhas,2503753
-37.7,-6.95,São Bentinho,2513927
-37.65,-6.95,Condado,2504504
-37.6,-6.95,Condado,2504504
-37.55,-6.95,Condado,2504504
-37.5,-6.95,Malta,2508802
-37.45,-6.95,Patos,2510808
-37.4,-6.95,Patos,2510808
-37.35,-6.95,Patos,2510808
-37.3,-6.95,Patos,2510808
-37.25,-6.95,Patos,2510808
-37.2,-6.95,Patos,2510808
-37.15,-6.95,São Mamede,2514909
-37.1,-6.95,São Mamede,2514909
-37.05,-6.95,São Mamede,2514909
-37.0,-6.95,São Mamede,2514909
-36.95,-6.95,Santa Luzia,2513406
-36.9,-6.95,Santa Luzia,2513406
-36.85,-6.95,Santa Luzia,2513406
-36.8,-6.95,Junco do Seridó,2507804
-36.75,-6.95,Junco do Seridó,2507804
-36.7,-6.95,Junco do Seridó,2507804
-36.65,-6.95,Tenório,2516755
-36.6,-6.95,Tenório,2516755
-36.55,-6.95,Juazeirinho,2507705
-36.5,-6.95,Juazeirinho,2507705
-36.45,-6.95,São Vicente do Seridó,2515401
-36.4,-6.95,São Vicente do Seridó,2515401
-36.35,-6.95,São Vicente do Seridó,2515401
-36.3,-6.95,Olivedos,2510501
-36.25,-6.95,Olivedos,2510501
-36.2,-6.95,Olivedos,2510501
-36.15,-6.95,Olivedos,2510501
-36.1,-6.95,Pocinhos,2512002
-36.05,-6.95,Algodão de Jandaíra,2500577
-36.0,-6.95,Pocinhos,2512002
-35.95,-6.95,Pocinhos,2512002
-35.9,-6.95,Esperança,2506004
-35.85,-6.95,Remígio,2512705
-35.8,-6.95,Remígio,2512705
-35.75,-6.95,Areia,2501104
-35.7,-6.95,Areia,2501104
-35.65,-6.95,Areia,2501104
-35.6,-6.95,Areia,2501104
-35.55,-6.95,Alagoinha,2500502
-35.5,-6.95,Alagoinha,2500502
-35.45,-6.95,Guarabira,2506301
-35.4,-6.95,Mulungu,2509800
-35.35,-6.95,Mulungu,2509800
-35.3,-6.95,Araçagi,2500809
-35.25,-6.95,Sapé,2515302
-35.2,-6.95,Sapé,2515302
-35.15,-6.95,Sapé,2515302
-35.1,-6.95,Santa Rita,2513703
-35.05,-6.95,Santa Rita,2513703
-35.0,-6.95,Santa Rita,2513703
-34.95,-6.95,Santa Rita,2513703
-34.9,-6.95,Lucena,2508604
-34.85,-6.95,Lucena,2508604
-38.75,-6.9,Cachoeira dos Índios,2503308
-38.7,-6.9,Cachoeira dos Índios,2503308
-38.65,-6.9,Cachoeira dos Índios,2503308
-38.6,-6.9,Cajazeiras,2503704
-38.55,-6.9,Cajazeiras,2503704
-38.5,-6.9,Cajazeiras,2503704
-38.45,-6.9,Cajazeiras,2503704
-38.4,-6.9,São João do Rio do Peixe,2500700
-38.35,-6.9,Nazarezinho,2510006
-38.3,-6.9,Sousa,2516201
-38.25,-6.9,São José da Lagoa Tapada,2514206
-38.2,-6.9,São José da Lagoa Tapada,2514206
-38.15,-6.9,São José da Lagoa Tapada,2514206
-38.1,-6.9,São José da Lagoa Tapada,2514206
-38.05,-6.9,São José da Lagoa Tapada,2514206
-38.0,-6.9,Pombal,2512101
-37.95,-6.9,Pombal,2512101
-37.9,-6.9,Pombal,2512101
-37.85,-6.9,Cajazeirinhas,2503753
-37.8,-6.9,Cajazeirinhas,2503753
-37.75,-6.9,Cajazeirinhas,2503753
-37.7,-6.9,São Bentinho,2513927
-37.65,-6.9,Condado,2504504
-37.6,-6.9,Condado,2504504
-37.55,-6.9,Malta,2508802
-37.5,-6.9,Malta,2508802
-37.45,-6.9,São José de Espinharas,2514404
-37.4,-6.9,São José de Espinharas,2514404
-37.35,-6.9,São José de Espinharas,2514404
-37.3,-6.9,São José de Espinharas,2514404
-37.25,-6.9,São José de Espinharas,2514404
-37.2,-6.9,São Mamede,2514909
-37.15,-6.9,São Mamede,2514909
-37.1,-6.9,São Mamede,2514909
-37.05,-6.9,São Mamede,2514909
-37.0,-6.9,Santa Luzia,2513406
-36.95,-6.9,Santa Luzia,2513406
-36.9,-6.9,Santa Luzia,2513406
-36.85,-6.9,Santa Luzia,2513406
-36.8,-6.9,Santa Luzia,2513406
-36.75,-6.9,São José do Sabugi,2514701
-36.6,-6.9,Tenório,2516755
-36.55,-6.9,Juazeirinho,2507705
-36.5,-6.9,São Vicente do Seridó,2515401
-36.45,-6.9,São Vicente do Seridó,2515401
-36.4,-6.9,São Vicente do Seridó,2515401
-36.35,-6.9,Cubati,2505006
-36.3,-6.9,Cubati,2505006
-36.25,-6.9,Olivedos,2510501
-36.2,-6.9,Barra de Santa Rosa,2501609
-36.15,-6.9,Barra de Santa Rosa,2501609
-36.1,-6.9,Barra de Santa Rosa,2501609
-36.05,-6.9,Algodão de Jandaíra,2500577
-36.0,-6.9,Algodão de Jandaíra,2500577
-35.95,-6.9,Algodão de Jandaíra,2500577
-35.9,-6.9,Remígio,2512705
-35.85,-6.9,Remígio,2512705
-35.8,-6.9,Remígio,2512705
-35.75,-6.9,Areia,2501104
-35.7,-6.9,Areia,2501104
-35.65,-6.9,Arara,2500908
-35.6,-6.9,Pilões,2511608
-35.55,-6.9,Cuitegi,2505204
-35.5,-6.9,Cuitegi,2505204
-35.45,-6.9,Guarabira,2506301
-35.4,-6.9,Guarabira,2506301
-35.35,-6.9,Araçagi,2500809
-35.3,-6.9,Cuité de Mamanguape,2505238
-35.25,-6.9,Cuité de Mamanguape,2505238
-35.2,-6.9,Capim,2504033
-35.15,-6.9,Capim,2504033
-35.1,-6.9,Rio Tinto,2512903
-35.05,-6.9,Rio Tinto,2512903
