lon,lat,name,code,WIND_SPEED,SOLAR_IRRAD
-36.0,-7.65,Alcantil,2500536,3.0332307899877753,5.4160598123213
-35.95,-7.65,Barra de Santana,2501575,3.068373225587451,5.415665259400981
-35.9,-7.65,Barra de Santana,2501575,3.097550783309108,5.25718588261866
-35.85,-7.65,Gado Bravo,2506251,3.1381353131303915,5.250770007538701
-35.8,-7.65,Gado Bravo,2506251,3.177586292187523,5.242797436631296
-35.75,-7.65,Gado Bravo,2506251,3.215427824044175,5.232997782009625
-35.7,-7.65,Umbuzeiro,2517001,3.2512401791500394,5.221675711408658
-35.65,-7.65,Umbuzeiro,2517001,3.284686453483274,5.209559356811011
-35.6,-7.65,Natuba,2509909,3.3155233483199575,5.197413257751146
-35.55,-7.65,Natuba,2509909,2.9696847717446064,5.287545825275256
-35.5,-7.65,Natuba,2509909,2.914026202960627,5.289966442393903
-38.7,-7.6,Santa Inês,2513356,2.179654273740673,5.702121490949943
-38.65,-7.6,Santa Inês,2513356,2.195546629463383,5.711017277832508
-38.6,-7.6,Conceição,2504405,2.210483000526399,5.720267752564792
-38.55,-7.6,Santa Inês,2513356,2.224286447729002,5.729762438226494
-38.5,-7.6,Conceição,2504405,2.27223080908802,5.786672159411229
-38.45,-7.6,Conceição,2504405,2.2767931200329588,5.7970536242842
-38.4,-7.6,Santana de Mangueira,2513505,2.2805590866396472,5.8070437968632325
-38.35,-7.6,Santana de Mangueira,2513505,2.28322577140742,5.816491519805314
-38.3,-7.6,Santana de Mangueira,2513505,2.284541237836315,5.82520480872856
-38.25,-7.6,Santana de Mangueira,2513505,2.284358565679995,5.832947863664064
-38.2,-7.6,Curral Velho,2505303,2.2826677583377446,5.839463422300915
-38.15,-7.6,Curral Velho,2505303,2.3066418464147507,5.958172543323375
-38.1,-7.6,São José de Princesa,2514552,2.355737592344011,5.969159113565373
-38.05,-7.6,Princesa Isabel,2512309,2.3832515016561078,5.970573131551316
-38.0,-7.6,Princesa Isabel,2512309,2.413645301259483,5.971716813002125
-37.95,-7.6,Tavares,2516607,2.4464457032698466,5.972597243835561
-37.9,-7.6,Tavares,2516607,2.4700523454223062,5.948649749405498
